themename,themepercent,themenamecodename,code,snname,sncode
Health system performance,30,Child health,63,Compulsory health finance,BK
Health system performance,30,Injuries and non-communicable diseases,89,Health,JA
Health system performance,30,Injuries and non-communicable diseases,89,Compulsory health finance,BK
Infrastructure services for private sector development,25,Infrastructure services for private sector development,39,Thermal Power Generation,LG
Infrastructure services for private sector development,25,Infrastructure services for private sector development,39,Transmission and Distribution of Electricity,LT
Infrastructure services for private sector development,25,Infrastructure services for private sector development,39,Energy efficiency in Heat and Power,LA
Infrastructure services for private sector development,25,Infrastructure services for private sector development,39,General energy sector,LZ
Infrastructure services for private sector development,25,Other urban development,74,Thermal Power Generation,LG
Infrastructure services for private sector development,25,Other urban development,74,Transmission and Distribution of Electricity,LT
Infrastructure services for private sector development,25,Other urban development,74,Energy efficiency in Heat and Power,LA
Infrastructure services for private sector development,25,Other urban development,74,General energy sector,LZ
Infrastructure services for private sector development,25,Rural services and infrastructure,78,Thermal Power Generation,LG
Infrastructure services for private sector development,25,Rural services and infrastructure,78,Transmission and Distribution of Electricity,LT
Infrastructure services for private sector development,25,Rural services and infrastructure,78,Energy efficiency in Heat and Power,LA
Infrastructure services for private sector development,25,Rural services and infrastructure,78,General energy sector,LZ
Pollution management and environmental health,100,Pollution management and environmental health,84,General industry and trade sector,YZ
Pollution management and environmental health,100,Pollution management and environmental health,84,Central government administration,BC
Regulation and competition policy,60,Regulation and competition policy,40,Telecommunications,CT
Regulation and competition policy,60,Infrastructure services for private sector development,39,Telecommunications,CT
Urban services and housing for the poor,100,Urban services and housing for the poor,71,Water supply,WC
"Public expenditure, financial management and procurement",20,"Public expenditure, financial management and procurement",27,General industry and trade sector,YZ
"Public expenditure, financial management and procurement",20,"Public expenditure, financial management and procurement",27,General energy sector,LZ
"Public expenditure, financial management and procurement",20,"Public expenditure, financial management and procurement",27,General finance sector,FZ
"Public expenditure, financial management and procurement",20,"Public expenditure, financial management and procurement",27,Other social services,JB
"Public expenditure, financial management and procurement",20,"Public expenditure, financial management and procurement",27,Public administration- Financial Sector,BO
"Public expenditure, financial management and procurement",20,Export development and competitiveness,45,General industry and trade sector,YZ
"Public expenditure, financial management and procurement",20,Export development and competitiveness,45,General energy sector,LZ
"Public expenditure, financial management and procurement",20,Export development and competitiveness,45,General finance sector,FZ
"Public expenditure, financial management and procurement",20,Export development and competitiveness,45,Other social services,JB
"Public expenditure, financial management and procurement",20,Export development and competitiveness,45,Public administration- Financial Sector,BO
"Public expenditure, financial management and procurement",20,Debt management and fiscal sustainability,21,General industry and trade sector,YZ
"Public expenditure, financial management and procurement",20,Debt management and fiscal sustainability,21,General energy sector,LZ
"Public expenditure, financial management and procurement",20,Debt management and fiscal sustainability,21,General finance sector,FZ
"Public expenditure, financial management and procurement",20,Debt management and fiscal sustainability,21,Other social services,JB
"Public expenditure, financial management and procurement",20,Debt management and fiscal sustainability,21,Public administration- Financial Sector,BO
"Public expenditure, financial management and procurement",20,Macroeconomic management,23,General industry and trade sector,YZ
"Public expenditure, financial management and procurement",20,Macroeconomic management,23,General energy sector,LZ
"Public expenditure, financial management and procurement",20,Macroeconomic management,23,General finance sector,FZ
"Public expenditure, financial management and procurement",20,Macroeconomic management,23,Other social services,JB
"Public expenditure, financial management and procurement",20,Macroeconomic management,23,Public administration- Financial Sector,BO
"Public expenditure, financial management and procurement",20,Other human development,70,General industry and trade sector,YZ
"Public expenditure, financial management and procurement",20,Other human development,70,General energy sector,LZ
"Public expenditure, financial management and procurement",20,Other human development,70,General finance sector,FZ
"Public expenditure, financial management and procurement",20,Other human development,70,Other social services,JB
"Public expenditure, financial management and procurement",20,Other human development,70,Public administration- Financial Sector,BO
International financial standards and systems,40,International financial standards and systems,42,General finance sector,FZ
International financial standards and systems,40,Infrastructure services for private sector development,39,General finance sector,FZ
Climate change,5,Climate change,81,Public administration- Transportation,BV
Climate change,5,Climate change,81,Urban Transport,TC
Other public sector governance,100,Other public sector governance,30,Other Mining and Extractive Industries,LS
Social safety nets,90,Social safety nets,54,Public administration- Other social services,BS
Social safety nets,90,Natural disaster management,52,Public administration- Other social services,BS
Social safety nets,90,Social risk mitigation,87,Public administration- Other social services,BS
"Public expenditure, financial management and procurement",100,"Public expenditure, financial management and procurement",27,General public administration sector,BZ
Tax policy and administration,20,Tax policy and administration,28,Public administration- Information and communications,BM
Tax policy and administration,20,Tax policy and administration,28,Public administration- Other social services,BS
Tax policy and administration,20,Tax policy and administration,28,Public administration- Industry and trade,BT
Tax policy and administration,20,Tax policy and administration,28,"Public administration- Agriculture, fishing and forestry",BL
Tax policy and administration,20,Tax policy and administration,28,Public administration- Financial Sector,BO
Tax policy and administration,20,Regulation and competition policy,40,Public administration- Information and communications,BM
Tax policy and administration,20,Regulation and competition policy,40,Public administration- Other social services,BS
Tax policy and administration,20,Regulation and competition policy,40,Public administration- Industry and trade,BT
Tax policy and administration,20,Regulation and competition policy,40,"Public administration- Agriculture, fishing and forestry",BL
Tax policy and administration,20,Regulation and competition policy,40,Public administration- Financial Sector,BO
Tax policy and administration,20,Other economic management,24,Public administration- Information and communications,BM
Tax policy and administration,20,Other economic management,24,Public administration- Other social services,BS
Tax policy and administration,20,Other economic management,24,Public administration- Industry and trade,BT
Tax policy and administration,20,Other economic management,24,"Public administration- Agriculture, fishing and forestry",BL
Tax policy and administration,20,Other economic management,24,Public administration- Financial Sector,BO
Social risk mitigation,50,Social risk mitigation,87,Health,JA
Social risk mitigation,50,Social risk mitigation,87,Other social services,JB
Social risk mitigation,50,Debt management and fiscal sustainability,21,Health,JA
Social risk mitigation,50,Debt management and fiscal sustainability,21,Other social services,JB
Other economic management,10,Other economic management,24,Other Mining and Extractive Industries,LS
Other economic management,10,Participation and civic engagement,57,Other Mining and Extractive Industries,LS
Export development and competitiveness,15,Export development and competitiveness,45,Central government administration,BC
Export development and competitiveness,15,Export development and competitiveness,45,General industry and trade sector,YZ
Export development and competitiveness,15,Export development and competitiveness,45,Other social services,JB
Export development and competitiveness,15,Export development and competitiveness,45,Health,JA
Export development and competitiveness,15,Export development and competitiveness,45,Other Mining and Extractive Industries,LS
Export development and competitiveness,15,Tax policy and administration,28,Central government administration,BC
Export development and competitiveness,15,Tax policy and administration,28,General industry and trade sector,YZ
Export development and competitiveness,15,Tax policy and administration,28,Other social services,JB
Export development and competitiveness,15,Tax policy and administration,28,Health,JA
Export development and competitiveness,15,Tax policy and administration,28,Other Mining and Extractive Industries,LS
Export development and competitiveness,15,"Public expenditure, financial management and procurement",27,Central government administration,BC
Export development and competitiveness,15,"Public expenditure, financial management and procurement",27,General industry and trade sector,YZ
Export development and competitiveness,15,"Public expenditure, financial management and procurement",27,Other social services,JB
Export development and competitiveness,15,"Public expenditure, financial management and procurement",27,Health,JA
Export development and competitiveness,15,"Public expenditure, financial management and procurement",27,Other Mining and Extractive Industries,LS
Export development and competitiveness,15,Health system performance,67,Central government administration,BC
Export development and competitiveness,15,Health system performance,67,General industry and trade sector,YZ
Export development and competitiveness,15,Health system performance,67,Other social services,JB
Export development and competitiveness,15,Health system performance,67,Health,JA
Export development and competitiveness,15,Health system performance,67,Other Mining and Extractive Industries,LS
Education for all,100,Education for all,65,Secondary education,ES
Education for all,100,Education for all,65,Primary education,EP
Education for all,100,Education for all,65,Pre-primary education,EC
Education for all,100,Education for all,65,Public administration- Education,BN
"Public expenditure, financial management and procurement",100,"Public expenditure, financial management and procurement",27,Central government administration,BC
"Public expenditure, financial management and procurement",100,"Public expenditure, financial management and procurement",27,Central government administration,BC
Participation and civic engagement,20,Participation and civic engagement,57,Health,JA
Participation and civic engagement,20,Participation and civic engagement,57,Public administration- Health,BQ
Participation and civic engagement,20,Population and reproductive health,69,Health,JA
Participation and civic engagement,20,Population and reproductive health,69,Public administration- Health,BQ
Participation and civic engagement,20,Health system performance,67,Health,JA
Participation and civic engagement,20,Health system performance,67,Public administration- Health,BQ
Education for all,100,Education for all,65,General education sector,EZ
Education for all,100,Education for all,65,Primary education,EP
Education for all,100,Education for all,65,Adult literacy/non-formal education,EL
"Micro, Small and Medium Enterprise support",100,"Micro, Small and Medium Enterprise support",41,Microfinance,FI
Climate change,10,Climate change,81,Transmission and Distribution of Electricity,LT
Climate change,10,Infrastructure services for private sector development,39,Transmission and Distribution of Electricity,LT
Nutrition and food security,35,Nutrition and food security,68,Agricultural extension and research,AB
Nutrition and food security,35,Nutrition and food security,68,Crops,AH
Nutrition and food security,35,Nutrition and food security,68,Central government administration,BC
Nutrition and food security,35,Nutrition and food security,68,"Agro-industry, marketing, and trade",YA
Nutrition and food security,35,Export development and competitiveness,45,Agricultural extension and research,AB
Nutrition and food security,35,Export development and competitiveness,45,Crops,AH
Nutrition and food security,35,Export development and competitiveness,45,Central government administration,BC
Nutrition and food security,35,Export development and competitiveness,45,"Agro-industry, marketing, and trade",YA
Nutrition and food security,35,Infrastructure services for private sector development,39,Agricultural extension and research,AB
Nutrition and food security,35,Infrastructure services for private sector development,39,Crops,AH
Nutrition and food security,35,Infrastructure services for private sector development,39,Central government administration,BC
Nutrition and food security,35,Infrastructure services for private sector development,39,"Agro-industry, marketing, and trade",YA
Nutrition and food security,35,Conflict prevention and post-conflict reconstruction,58,Agricultural extension and research,AB
Nutrition and food security,35,Conflict prevention and post-conflict reconstruction,58,Crops,AH
Nutrition and food security,35,Conflict prevention and post-conflict reconstruction,58,Central government administration,BC
Nutrition and food security,35,Conflict prevention and post-conflict reconstruction,58,"Agro-industry, marketing, and trade",YA
"Economic statistics, modeling and forecasting",40,"Economic statistics, modeling and forecasting",22,"General agriculture, fishing and forestry sector",AZ
"Economic statistics, modeling and forecasting",40,"Economic statistics, modeling and forecasting",22,Other social services,JB
"Economic statistics, modeling and forecasting",40,"Poverty strategy, analysis and monitoring",53,"General agriculture, fishing and forestry sector",AZ
"Economic statistics, modeling and forecasting",40,"Poverty strategy, analysis and monitoring",53,Other social services,JB
Regulation and competition policy,13,Regulation and competition policy,40,Credit Reporting and Secured Transactions,FR
Regulation and competition policy,13,Regulation and competition policy,40,Central government administration,BC
Regulation and competition policy,13,Regulation and competition policy,40,"Agro-industry, marketing, and trade",YA
Regulation and competition policy,13,Regulation and competition policy,40,SME Finance,FH
Regulation and competition policy,13,Regulation and competition policy,40,General industry and trade sector,YZ
Regulation and competition policy,13,Legal institutions for a market economy,34,Credit Reporting and Secured Transactions,FR
Regulation and competition policy,13,Legal institutions for a market economy,34,Central government administration,BC
Regulation and competition policy,13,Legal institutions for a market economy,34,"Agro-industry, marketing, and trade",YA
Regulation and competition policy,13,Legal institutions for a market economy,34,SME Finance,FH
Regulation and competition policy,13,Legal institutions for a market economy,34,General industry and trade sector,YZ
Regulation and competition policy,13,"Micro, Small and Medium Enterprise support",41,Credit Reporting and Secured Transactions,FR
Regulation and competition policy,13,"Micro, Small and Medium Enterprise support",41,Central government administration,BC
Regulation and competition policy,13,"Micro, Small and Medium Enterprise support",41,"Agro-industry, marketing, and trade",YA
Regulation and competition policy,13,"Micro, Small and Medium Enterprise support",41,SME Finance,FH
Regulation and competition policy,13,"Micro, Small and Medium Enterprise support",41,General industry and trade sector,YZ
Regulation and competition policy,13,Regulation and competition policy,40,"General agriculture, fishing and forestry sector",AZ
Regulation and competition policy,13,Regulation and competition policy,40,Agricultural extension and research,AB
Regulation and competition policy,13,Regulation and competition policy,40,"Agro-industry, marketing, and trade",YA
Regulation and competition policy,13,Rural markets,75,"General agriculture, fishing and forestry sector",AZ
Regulation and competition policy,13,Rural markets,75,Agricultural extension and research,AB
Regulation and competition policy,13,Rural markets,75,"Agro-industry, marketing, and trade",YA
Regulation and competition policy,13,Rural policies and institutions,77,"General agriculture, fishing and forestry sector",AZ
Regulation and competition policy,13,Rural policies and institutions,77,Agricultural extension and research,AB
Regulation and competition policy,13,Rural policies and institutions,77,"Agro-industry, marketing, and trade",YA
Regulation and competition policy,13,Rural services and infrastructure,78,"General agriculture, fishing and forestry sector",AZ
Regulation and competition policy,13,Rural services and infrastructure,78,Agricultural extension and research,AB
Regulation and competition policy,13,Rural services and infrastructure,78,"Agro-industry, marketing, and trade",YA
Rural policies and institutions,14,Rural policies and institutions,77,"General agriculture, fishing and forestry sector",AZ
Rural policies and institutions,14,Rural policies and institutions,77,Irrigation and drainage,AI
Rural policies and institutions,14,Rural policies and institutions,77,Crops,AH
Rural policies and institutions,14,Rural policies and institutions,77,Agricultural extension and research,AB
Rural policies and institutions,14,Rural policies and institutions,77,General public administration sector,BZ
Rural policies and institutions,14,Rural services and infrastructure,78,"General agriculture, fishing and forestry sector",AZ
Rural policies and institutions,14,Rural services and infrastructure,78,Irrigation and drainage,AI
Rural policies and institutions,14,Rural services and infrastructure,78,Crops,AH
Rural policies and institutions,14,Rural services and infrastructure,78,Agricultural extension and research,AB
Rural policies and institutions,14,Rural services and infrastructure,78,General public administration sector,BZ
Rural policies and institutions,14,Gender,59,"General agriculture, fishing and forestry sector",AZ
Rural policies and institutions,14,Gender,59,Irrigation and drainage,AI
Rural policies and institutions,14,Gender,59,Crops,AH
Rural policies and institutions,14,Gender,59,Agricultural extension and research,AB
Rural policies and institutions,14,Gender,59,General public administration sector,BZ
Rural policies and institutions,14,Rural markets,75,"General agriculture, fishing and forestry sector",AZ
Rural policies and institutions,14,Rural markets,75,Irrigation and drainage,AI
Rural policies and institutions,14,Rural markets,75,Crops,AH
Rural policies and institutions,14,Rural markets,75,Agricultural extension and research,AB
Rural policies and institutions,14,Rural markets,75,General public administration sector,BZ
Rural policies and institutions,14,Other rural development,79,"General agriculture, fishing and forestry sector",AZ
Rural policies and institutions,14,Other rural development,79,Irrigation and drainage,AI
Rural policies and institutions,14,Other rural development,79,Crops,AH
Rural policies and institutions,14,Other rural development,79,Agricultural extension and research,AB
Rural policies and institutions,14,Other rural development,79,General public administration sector,BZ
Trade facilitation and market access,25,Trade facilitation and market access,49,Rural and Inter-Urban Roads and Highways,TI
Trade facilitation and market access,25,Trade facilitation and market access,49,General industry and trade sector,YZ
Trade facilitation and market access,25,Trade facilitation and market access,49,Other domestic and international trade,YY
Trade facilitation and market access,25,Trade facilitation and market access,49,Public administration- Transportation,BV
Trade facilitation and market access,25,Trade facilitation and market access,49,Public administration- Industry and trade,BT
Trade facilitation and market access,25,Infrastructure services for private sector development,39,Rural and Inter-Urban Roads and Highways,TI
Trade facilitation and market access,25,Infrastructure services for private sector development,39,General industry and trade sector,YZ
Trade facilitation and market access,25,Infrastructure services for private sector development,39,Other domestic and international trade,YY
Trade facilitation and market access,25,Infrastructure services for private sector development,39,Public administration- Transportation,BV
Trade facilitation and market access,25,Infrastructure services for private sector development,39,Public administration- Industry and trade,BT
Trade facilitation and market access,25,Regional integration,47,Rural and Inter-Urban Roads and Highways,TI
Trade facilitation and market access,25,Regional integration,47,General industry and trade sector,YZ
Trade facilitation and market access,25,Regional integration,47,Other domestic and international trade,YY
Trade facilitation and market access,25,Regional integration,47,Public administration- Transportation,BV
Trade facilitation and market access,25,Regional integration,47,Public administration- Industry and trade,BT
Regional integration,25,Regional integration,47,Agricultural extension and research,AB
Regional integration,25,Regional integration,47,"Public administration- Agriculture, fishing and forestry",BL
Regional integration,25,Regional integration,47,"Agro-industry, marketing, and trade",YA
Regional integration,25,Technology diffusion,48,Agricultural extension and research,AB
Regional integration,25,Technology diffusion,48,"Public administration- Agriculture, fishing and forestry",BL
Regional integration,25,Technology diffusion,48,"Agro-industry, marketing, and trade",YA
Regional integration,25,"Public expenditure, financial management and procurement",27,Agricultural extension and research,AB
Regional integration,25,"Public expenditure, financial management and procurement",27,"Public administration- Agriculture, fishing and forestry",BL
Regional integration,25,"Public expenditure, financial management and procurement",27,"Agro-industry, marketing, and trade",YA
Regional integration,25,Rural services and infrastructure,78,Agricultural extension and research,AB
Regional integration,25,Rural services and infrastructure,78,"Public administration- Agriculture, fishing and forestry",BL
Regional integration,25,Rural services and infrastructure,78,"Agro-industry, marketing, and trade",YA
Water resource management,1,Water resource management,85,Irrigation and drainage,AI
Water resource management,1,Water resource management,85,Agricultural extension and research,AB
Water resource management,1,Water resource management,85,"General agriculture, fishing and forestry sector",AZ
Water resource management,1,Water resource management,85,Central government administration,BC
Water resource management,1,Rural policies and institutions,77,Irrigation and drainage,AI
Water resource management,1,Rural policies and institutions,77,Agricultural extension and research,AB
Water resource management,1,Rural policies and institutions,77,"General agriculture, fishing and forestry sector",AZ
Water resource management,1,Rural policies and institutions,77,Central government administration,BC
Water resource management,1,Other rural development,79,Irrigation and drainage,AI
Water resource management,1,Other rural development,79,Agricultural extension and research,AB
Water resource management,1,Other rural development,79,"General agriculture, fishing and forestry sector",AZ
Water resource management,1,Other rural development,79,Central government administration,BC
Water resource management,1,Rural services and infrastructure,78,Irrigation and drainage,AI
Water resource management,1,Rural services and infrastructure,78,Agricultural extension and research,AB
Water resource management,1,Rural services and infrastructure,78,"General agriculture, fishing and forestry sector",AZ
Water resource management,1,Rural services and infrastructure,78,Central government administration,BC
Infrastructure services for private sector development,100,Infrastructure services for private sector development,39,Thermal Power Generation,LG
Infrastructure services for private sector development,100,Infrastructure services for private sector development,39,Oil and gas,LC
Health system performance,11,Health system performance,67,Other domestic and international trade,YY
Health system performance,11,Health system performance,67,General education sector,EZ
Health system performance,11,Health system performance,67,General public administration sector,BZ
Health system performance,11,Health system performance,67,Other social services,JB
Health system performance,11,Health system performance,67,General energy sector,LZ
Health system performance,11,Education for all,65,Other domestic and international trade,YY
Health system performance,11,Education for all,65,General education sector,EZ
Health system performance,11,Education for all,65,General public administration sector,BZ
Health system performance,11,Education for all,65,Other social services,JB
Health system performance,11,Education for all,65,General energy sector,LZ
Health system performance,11,"Public expenditure, financial management and procurement",27,Other domestic and international trade,YY
Health system performance,11,"Public expenditure, financial management and procurement",27,General education sector,EZ
Health system performance,11,"Public expenditure, financial management and procurement",27,General public administration sector,BZ
Health system performance,11,"Public expenditure, financial management and procurement",27,Other social services,JB
Health system performance,11,"Public expenditure, financial management and procurement",27,General energy sector,LZ
Health system performance,11,Trade facilitation and market access,49,Other domestic and international trade,YY
Health system performance,11,Trade facilitation and market access,49,General education sector,EZ
Health system performance,11,Trade facilitation and market access,49,General public administration sector,BZ
Health system performance,11,Trade facilitation and market access,49,Other social services,JB
Health system performance,11,Trade facilitation and market access,49,General energy sector,LZ
Health system performance,11,Social safety nets,54,Other domestic and international trade,YY
Health system performance,11,Social safety nets,54,General education sector,EZ
Health system performance,11,Social safety nets,54,General public administration sector,BZ
Health system performance,11,Social safety nets,54,Other social services,JB
Health system performance,11,Social safety nets,54,General energy sector,LZ
Pollution management and environmental health,95,Pollution management and environmental health,84,Solid waste management,WB
Pollution management and environmental health,95,Pollution management and environmental health,84,Central government administration,BC
Pollution management and environmental health,95,Environmental policies and institutions,82,Solid waste management,WB
Pollution management and environmental health,95,Environmental policies and institutions,82,Central government administration,BC
Infrastructure services for private sector development,65,Infrastructure services for private sector development,39,Railways,TW
Infrastructure services for private sector development,65,Trade facilitation and market access,49,Railways,TW
Land administration and management,20,Land administration and management,83,Central government administration,BC
Land administration and management,20,Other accountability/anti-corruption,29,Central government administration,BC
Land administration and management,20,Tax policy and administration,28,Central government administration,BC
Land administration and management,20,"Public expenditure, financial management and procurement",27,Central government administration,BC
Water resource management,45,Water resource management,85,Flood protection,WD
Water resource management,45,Water resource management,85,Other social services,JB
Water resource management,45,Water resource management,85,"General water, sanitation and flood protection sector",WZ
Water resource management,45,Water resource management,85,Forestry,AT
Water resource management,45,Natural disaster management,52,Flood protection,WD
Water resource management,45,Natural disaster management,52,Other social services,JB
Water resource management,45,Natural disaster management,52,"General water, sanitation and flood protection sector",WZ
Water resource management,45,Natural disaster management,52,Forestry,AT
Water resource management,45,Participation and civic engagement,57,Flood protection,WD
Water resource management,45,Participation and civic engagement,57,Other social services,JB
Water resource management,45,Participation and civic engagement,57,"General water, sanitation and flood protection sector",WZ
Water resource management,45,Participation and civic engagement,57,Forestry,AT
Water resource management,45,Environmental policies and institutions,82,Flood protection,WD
Water resource management,45,Environmental policies and institutions,82,Other social services,JB
Water resource management,45,Environmental policies and institutions,82,"General water, sanitation and flood protection sector",WZ
Water resource management,45,Environmental policies and institutions,82,Forestry,AT
Water resource management,45,Other social development,62,Flood protection,WD
Water resource management,45,Other social development,62,Other social services,JB
Water resource management,45,Other social development,62,"General water, sanitation and flood protection sector",WZ
Water resource management,45,Other social development,62,Forestry,AT
"Micro, Small and Medium Enterprise support",100,"Micro, Small and Medium Enterprise support",41,SME Finance,FH
Gender,5,Gender,59,Other social services,JB
Gender,5,Gender,59,Public administration- Other social services,BS
Gender,5,Social safety nets,54,Other social services,JB
Gender,5,Social safety nets,54,Public administration- Other social services,BS
Gender,5,Vulnerability assessment and monitoring,55,Other social services,JB
Gender,5,Vulnerability assessment and monitoring,55,Public administration- Other social services,BS
Gender,5,Other accountability/anti-corruption,29,Other social services,JB
Gender,5,Other accountability/anti-corruption,29,Public administration- Other social services,BS
Health system performance,11,Health system performance,67,Sub-national government administration,BH
Health system performance,11,Health system performance,67,"General agriculture, fishing and forestry sector",AZ
Health system performance,11,Health system performance,67,General education sector,EZ
Health system performance,11,Health system performance,67,Public administration- Other social services,BS
Health system performance,11,Health system performance,67,Health,JA
Health system performance,11,Rural markets,75,Sub-national government administration,BH
Health system performance,11,Rural markets,75,"General agriculture, fishing and forestry sector",AZ
Health system performance,11,Rural markets,75,General education sector,EZ
Health system performance,11,Rural markets,75,Public administration- Other social services,BS
Health system performance,11,Rural markets,75,Health,JA
Health system performance,11,Gender,59,Sub-national government administration,BH
Health system performance,11,Gender,59,"General agriculture, fishing and forestry sector",AZ
Health system performance,11,Gender,59,General education sector,EZ
Health system performance,11,Gender,59,Public administration- Other social services,BS
Health system performance,11,Gender,59,Health,JA
Health system performance,11,Education for all,65,Sub-national government administration,BH
Health system performance,11,Education for all,65,"General agriculture, fishing and forestry sector",AZ
Health system performance,11,Education for all,65,General education sector,EZ
Health system performance,11,Education for all,65,Public administration- Other social services,BS
Health system performance,11,Education for all,65,Health,JA
Health system performance,11,Administrative and civil service reform,25,Sub-national government administration,BH
Health system performance,11,Administrative and civil service reform,25,"General agriculture, fishing and forestry sector",AZ
Health system performance,11,Administrative and civil service reform,25,General education sector,EZ
Health system performance,11,Administrative and civil service reform,25,Public administration- Other social services,BS
Health system performance,11,Administrative and civil service reform,25,Health,JA
Health system performance,20,Health system performance,67,Sub-national government administration,BH
Health system performance,20,Health system performance,67,Other social services,JB
Health system performance,20,Health system performance,67,Health,JA
Health system performance,20,Health system performance,67,Vocational training,EV
Health system performance,20,Health system performance,67,General public administration sector,BZ
Health system performance,20,Improving labor markets,51,Sub-national government administration,BH
Health system performance,20,Improving labor markets,51,Other social services,JB
Health system performance,20,Improving labor markets,51,Health,JA
Health system performance,20,Improving labor markets,51,Vocational training,EV
Health system performance,20,Improving labor markets,51,General public administration sector,BZ
Health system performance,20,Gender,59,Sub-national government administration,BH
Health system performance,20,Gender,59,Other social services,JB
Health system performance,20,Gender,59,Health,JA
Health system performance,20,Gender,59,Vocational training,EV
Health system performance,20,Gender,59,General public administration sector,BZ
Health system performance,20,Other public sector governance,30,Sub-national government administration,BH
Health system performance,20,Other public sector governance,30,Other social services,JB
Health system performance,20,Other public sector governance,30,Health,JA
Health system performance,20,Other public sector governance,30,Vocational training,EV
Health system performance,20,Other public sector governance,30,General public administration sector,BZ
Health system performance,20,Social safety nets,54,Sub-national government administration,BH
Health system performance,20,Social safety nets,54,Other social services,JB
Health system performance,20,Social safety nets,54,Health,JA
Health system performance,20,Social safety nets,54,Vocational training,EV
Health system performance,20,Social safety nets,54,General public administration sector,BZ
Other public sector governance,6,Other public sector governance,30,Rural and Inter-Urban Roads and Highways,TI
Other public sector governance,6,Other public sector governance,30,Public administration- Transportation,BV
Other public sector governance,6,Other public sector governance,30,"Ports, waterways and shipping",TP
Other public sector governance,6,Other public sector governance,30,Aviation,TV
Other public sector governance,6,Infrastructure services for private sector development,39,Rural and Inter-Urban Roads and Highways,TI
Other public sector governance,6,Infrastructure services for private sector development,39,Public administration- Transportation,BV
Other public sector governance,6,Infrastructure services for private sector development,39,"Ports, waterways and shipping",TP
Other public sector governance,6,Infrastructure services for private sector development,39,Aviation,TV
Other public sector governance,6,Rural services and infrastructure,78,Rural and Inter-Urban Roads and Highways,TI
Other public sector governance,6,Rural services and infrastructure,78,Public administration- Transportation,BV
Other public sector governance,6,Rural services and infrastructure,78,"Ports, waterways and shipping",TP
Other public sector governance,6,Rural services and infrastructure,78,Aviation,TV
Other public sector governance,6,Injuries and non-communicable diseases,89,Rural and Inter-Urban Roads and Highways,TI
Other public sector governance,6,Injuries and non-communicable diseases,89,Public administration- Transportation,BV
Other public sector governance,6,Injuries and non-communicable diseases,89,"Ports, waterways and shipping",TP
Other public sector governance,6,Injuries and non-communicable diseases,89,Aviation,TV
Infrastructure services for private sector development,50,Infrastructure services for private sector development,39,Transmission and Distribution of Electricity,LT
Infrastructure services for private sector development,50,Infrastructure services for private sector development,39,Public administration- Energy and mining,BU
Infrastructure services for private sector development,50,Regional integration,47,Transmission and Distribution of Electricity,LT
Infrastructure services for private sector development,50,Regional integration,47,Public administration- Energy and mining,BU
Municipal governance and institution building,14,Municipal governance and institution building,73,"General water, sanitation and flood protection sector",WZ
Municipal governance and institution building,14,Municipal governance and institution building,73,Other social services,JB
Municipal governance and institution building,14,Municipal governance and institution building,73,Urban Transport,TC
Municipal governance and institution building,14,Municipal governance and institution building,73,Central government administration,BC
Municipal governance and institution building,14,Municipal governance and institution building,73,Sub-national government administration,BH
Municipal governance and institution building,14,Decentralization,26,"General water, sanitation and flood protection sector",WZ
Municipal governance and institution building,14,Decentralization,26,Other social services,JB
Municipal governance and institution building,14,Decentralization,26,Urban Transport,TC
Municipal governance and institution building,14,Decentralization,26,Central government administration,BC
Municipal governance and institution building,14,Decentralization,26,Sub-national government administration,BH
Municipal governance and institution building,14,Urban services and housing for the poor,71,"General water, sanitation and flood protection sector",WZ
Municipal governance and institution building,14,Urban services and housing for the poor,71,Other social services,JB
Municipal governance and institution building,14,Urban services and housing for the poor,71,Urban Transport,TC
Municipal governance and institution building,14,Urban services and housing for the poor,71,Central government administration,BC
Municipal governance and institution building,14,Urban services and housing for the poor,71,Sub-national government administration,BH
Improving labor markets,50,Improving labor markets,51,Other social services,JB
Improving labor markets,50,Other social protection and risk management,56,Other social services,JB
Education for all,77,Education for all,65,Primary education,EP
Education for all,77,Education for all,65,Public administration- Education,BN
Education for all,77,Education for all,65,Secondary education,ES
Education for all,77,Education for all,65,Tertiary education,ET
Education for all,77,Education for the knowledge economy,66,Primary education,EP
Education for all,77,Education for the knowledge economy,66,Public administration- Education,BN
Education for all,77,Education for the knowledge economy,66,Secondary education,ES
Education for all,77,Education for the knowledge economy,66,Tertiary education,ET
Gender,10,Gender,59,Other social services,JB
Gender,10,Gender,59,Public administration- Other social services,BS
Gender,10,Vulnerability assessment and monitoring,55,Other social services,JB
Gender,10,Vulnerability assessment and monitoring,55,Public administration- Other social services,BS
Gender,10,Improving labor markets,51,Other social services,JB
Gender,10,Improving labor markets,51,Public administration- Other social services,BS
Gender,10,Social safety nets,54,Other social services,JB
Gender,10,Social safety nets,54,Public administration- Other social services,BS
Improving labor markets,44,Improving labor markets,51,Vocational training,EV
Improving labor markets,44,Improving labor markets,51,Other social services,JB
Improving labor markets,44,Improving labor markets,51,Public administration- Other social services,BS
Improving labor markets,44,Vulnerability assessment and monitoring,55,Vocational training,EV
Improving labor markets,44,Vulnerability assessment and monitoring,55,Other social services,JB
Improving labor markets,44,Vulnerability assessment and monitoring,55,Public administration- Other social services,BS
Infrastructure services for private sector development,49,Infrastructure services for private sector development,39,Urban Transport,TC
